,Siruta,Localitate,Total_cif_afaceri
764,26699,Oras Alesd,4700825.0
765,174156,Vladesti,0.0
766,2130,Albac,0.0
767,149584,Musenita,2674806.0
768,34903,Sintereag,573741.0
769,157781,Moravita,729453.0
770,75864,Cavadinesti,1677535.0
771,108632,Rona De Sus,0.0
772,125016,Vanatori-Neamt,1110395.0
773,165979,Stanilesti,27615.0
774,67675,Hulubesti,0.0
775,133214,Filipestii De Targ,979634.0
776,18527,Rucar,0.0
777,51305,Bania,0.0
778,10346,Carand,262908.0
779,59498,Sanmartin,42796.0
780,43117,Frecatei,0.0
781,26742,Astileu,8000.0
782,84086,Ciumani,0.0
783,18554,Salatrucu,0.0
784,108669,Rozavlea,0.0
785,116867,Galesti,2666244.0
786,51332,Bautar,0.0
787,125061,Zanesti,30331374.0
788,10373,Cermei,905544.0
789,141447,Hida,0.0
790,84102,Carta,2888211.0
791,157834,Mosnita Noua,9765316.0
792,174218,Voicesti,107751.0
793,75917,Certesti,3730801.0
794,18581,Sapata,0.0
795,149655,Ostra,504875.0
796,67737,I. L. Caragiale,455590.0
797,108696,Ruscova,0.0
798,133278,Fantanele,0.0
799,100521,Municipiul Giurgiu,84663678.0
800,34985,Teaca,1179680.0
801,108712,Satulung,3019001.0
802,125098,Dochia,9615353.0
803,166057,Stefan Cel Mare,2775448.0
804,43180,Galbenu,1785186.0
805,174254,Voineasa,0.0
806,75953,Corod,25169567.0
807,125105,Ruginoasa,1190980.0
808,149682,Panaci,1344059.0
809,10417,Chisindia,0.0
810,26804,Municipiul Beius,24000.0
811,84148,Corbu,0.0
812,51387,Berliste,19826022.0
813,125114,Ghindaoani,0.0
814,67773,Lucieni,0.0
815,59586,Sanpaul,2712849.0
816,125123,Valeni,1104633.0
817,100549,Slobozia,9741819.0
818,157898,Nadrag,0.0
819,116938,Ganesti,7843320.0
820,125132,Draganesti,0.0
821,84175,Corund,19101.0
822,133330,Floresti,357581.0
823,174290,Zatreni,340203.0
824,125141,Pancesti,0.0
825,10453,Conop,2940321.0
826,26840,Oras Stei,3421851.0
827,141535,Horoatu Crasnei,0.0
828,125150,Gadinti,1759928.0
829,100576,Oras Buftea,9666947.0
830,157923,Nitchidorf,0.0
