,Siruta,Localitate,Plante
724,83936,Bilbor,0.0
725,100326,Harmanesti,0.0
726,18411,Recea,0.0
727,100335,Rachiteni,0.0
728,157683,Masloc,0.0
729,116723,Faragau,0.0
730,75766,Brahasesti,0.0
731,100344,Roscani,0.0
732,83963,Capalnita,0.0
733,149502,Moldova-Sulita,0.0
734,10239,Brazii,0.0
735,100353,Valea Lupului,0.0
736,141312,Halmasd,0.0
737,51207,Oras Otelu Rosu,0.0
738,174085,Valea Mare,0.0
739,108552,Remeti,0.0
740,165899,Solesti,0.0
741,67595,Gura Ocnitei,0.0
742,43019,Ciresu,734664.0
743,100362,Ciohorani,0.0
744,124938,Alexandru Cel Bun,1651.0
745,83981,Ciucsangeorgiu,0.0
746,92177,Zam,0.0
747,59416,Sic,0.0
748,26653,Santandrei,0.0
749,149539,Moldovita,860502.0
750,34850,Sieut,0.0
751,59434,Sancraiu,0.0
752,75819,Buciumeni,0.0
753,157736,Manastiur,0.0
754,18475,Rociu,0.0
755,51243,Armenis,0.0
756,133161,Filipestii De Padure,0.0
757,10293,Buteni,0.0
758,108598,Repedea,0.0
759,116796,Fantanele,0.0
760,43073,Dudesti,0.0
761,67648,Gura Sutii,0.0
762,141376,Hereclean,0.0
763,108614,Rona De Jos,0.0
764,26699,Oras Alesd,0.0
765,174156,Vladesti,0.0
766,2130,Albac,0.0
767,149584,Musenita,0.0
768,34903,Sintereag,0.0
769,157781,Moravita,0.0
770,75864,Cavadinesti,0.0
771,108632,Rona De Sus,0.0
772,125016,Vanatori-Neamt,0.0
773,165979,Stanilesti,1368.0
774,67675,Hulubesti,0.0
775,133214,Filipestii De Targ,0.0
776,18527,Rucar,0.0
777,51305,Bania,0.0
778,10346,Carand,0.0
779,59498,Sanmartin,0.0
780,43117,Frecatei,0.0
781,26742,Astileu,0.0
782,84086,Ciumani,0.0
783,18554,Salatrucu,0.0
784,108669,Rozavlea,0.0
785,116867,Galesti,0.0
786,51332,Bautar,0.0
787,125061,Zanesti,0.0
788,10373,Cermei,0.0
789,141447,Hida,0.0
790,84102,Carta,0.0
791,157834,Mosnita Noua,145450.0
