,Siruta,Localitate,LT
2989,170097,Ghioroiu,44.15807560137457
1481,90119,Lunca Cernii De Jos,44.141689373297005
175,14352,Beleti-Negresti,44.13746630727763
1392,84264,Dealu,44.118564742589705
145,12509,Tarnova,44.105070250458155
1372,83197,Feliceni,44.015719899964274
788,51387,Berliste,44.008483563096505
727,47337,Magura,43.99531341534856
932,60099,Vultureni,43.9893143365984
1482,90208,Luncoiu De Jos,43.98395721925134
3058,175368,Bolotesti,43.98232388874448
1690,101564,Butimanu,43.97394136807817
3000,171021,Malaia,43.97306397306397
74,8425,Vidra,43.90243902439025
546,37850,Leorda,43.87424872861766
1407,85243,Ocland,43.87031408308004
107,10649,Dezna,43.86138613861386
2610,151451,Ciocanesti,43.845534995977474
1101,68280,Nucet,43.827338129496404
114,11058,Halmagiu,43.78378378378379
1215,74509,Tuglui,43.757674989766684
967,61951,Ion Corvin,43.72574385510996
1747,104118,Mihai Bravu,43.723175965665234
1986,118094,Magherani,43.69114877589454
772,50415,Zarnesti,43.68159203980099
2757,156927,Fardea,43.67317425885756
1427,86366,Zetea,43.671940049958366
3114,178910,Paulesti,43.61904761904762
3084,177101,Paltin,43.60950545921644
3061,175509,Chiojdeni,43.55285002767017
1405,85074,Mihaileni,43.529411764705884
100,10293,Buteni,43.514797223237125
1400,84656,Lunca De Jos,43.51073762838469
2774,157834,Mosnita Noua,43.501158626500946
5,1455,Oras Campeni,43.4881087202718
1358,82136,Stanesti,43.47826086956522
362,27070,Abram,43.45852249277755
1323,79406,Bustuchin,43.44415390362346
2407,140672,Creaca,43.435251798561154
3164,179917,Rau Alb,43.430034129692835
2153,127288,Iancu Jianu,43.39783722253841
2831,160047,Ceatalchioi,43.373493975903614
10,2130,Albac,43.35154826958106
2741,156106,Boldur,43.3502538071066
1788,105874,Varasti,43.34901625320787
3136,179622,Grosii Tiblesului,43.31770222743259
2378,139054,Terebesti,43.30110497237569
272,21098,Ardeoani,43.28739152628892
1366,82733,Urdari,43.26434986333464
939,60570,Agigea,43.24437030859049
2982,169351,Daesti,43.236810789369294
2713,154996,Nenciulesti,43.202099737532805
2647,152467,Calmatuiu De Sus,43.18734793187348
373,27757,Brusturi,43.17617866004963
2159,127536,Mihaesti,43.164230438521066
398,29341,Dragesti,43.16012725344645
984,62823,Saraiu,43.14671814671815
1440,86883,Ghelari,43.146327356853675
2637,152083,Blejesti,43.129388164493484
195,15830,Corbi,43.127250900360146
2353,137675,Dorolt,43.12599681020733
2172,128178,Parscoveni,43.10695404636031
1220,74705,Verbita,43.09664694280079
1223,74842,Catane,43.08243727598566
1017,64005,Brates,43.07692307692308
2420,141580,Ileanda,43.06849315068494
1527,93441,Dorobantu,43.06177260519248
906,58464,Margau,43.05882352941177
2667,153240,Magura,43.02325581395349
181,14753,Bradulet,42.964996568291006
1766,104831,Roata De Jos,42.94126762746009
2183,128711,Oras Scornicesti,42.92985849536801
401,29519,Hidiselu De Sus,42.91217257318952
1870,110535,Balacita,42.90413533834587
2081,123969,Razboieni,42.89906103286385
1108,68565,Pucheni,42.895989123045545
153,12912,Dorobanti,42.857142857142854
36,4981,Intregalde,42.857142857142854
402,29573,Holod,42.82208588957055
2400,140379,Buciumi,42.82051282051282
2496,145471,Sadu,42.809995285242806
1153,71607,Calarasi,42.78555021925246
775,50564,Florica,42.760617760617755
1432,86479,Leliceni,42.744656917885266
2441,142881,Sarmasag,42.71844660194174
2622,151576,Berchisesti,42.71725826193391
169,13935,Albota,42.672540381791485
1964,116545,Deda,42.65243902439024
1825,107975,Desesti,42.646310432569976
3129,179481,Oras Otopeni,42.63681255496178
979,62609,Pantelimon,42.604387827317765
2412,141027,Dragu,42.60289210233593
1341,80766,Logresti,42.599620493358636
336,25692,Tamasi,42.59708737864077
103,10417,Chisindia,42.56951102588686
1387,84086,Ciumani,42.558459422283356
1221,74732,Vartop,42.5531914893617
291,22237,Dealu Morii,42.527109853842525
2195,129380,Teslui,42.51439539347409
